a あ
i い
u う
e え
o お
ka か
ki き
ku く
ke け
ko こ
ga が
gi ぎ
gu ぐ
ge げ
go ご
ja じゃ
ju じゅ
jo じょ
kya かゃ
kyu きゅ
kyo きょ
sa さ
shi し
su す
se せ
so そ
sha しゃ
shu しゅ
sho しょ
za ざ
ji じ
zu ず
ze ぜ
zo ぞ
ta た
chi ち
tsu つ
te て
to と
da だ
dji ぢ
dzu づ
de で
do ど
cha ちゃ
chu ちゅ
cho ちょ
na な
ni に
nu ぬ
ne ね
no の
nya にゃ
nyu にゅ
nyo にょ
n ん
ha は
hi ひ
hu ふ
fu ふ
he へ
ho ほ
hya ひゃ
hyu ひゅ
hyo ひょ
pa ぱ
pi ぴ
pu ぷ
pe ぺ
po ぽ
ba ば
bi び
bu ぶ
be べ
bo ぼ
ma ま
mi み
mu む
me め
mo も
mya みゃ
myu みゅ
myo みょ
ya や
yu ゆ
yo よ
ra ら
ri り
ru る
re れ
ro ろ
rya りゃ
ryu りゅ
ryo りょ
wa わ
wi ゐ
we ゑ
wo を
n ん
. 。
, 、
stop っ
A ア
I イ
U ウ
E エ
O オ
KA カ
KI キ
KU ク
KE ケ
KO コ
SA サ
SHI シ
SU ス
SE セ
SO ソ
TA タ
CHI チ
TSU ツ
TE テ
TO ト
NA ナ
NI ニ
NU ヌ
NE ネ
NO ノ
HA ハ
HI ヒ
HU フ
FU フ
HE ヘ
HO ホ
MA マ
MI ミ
MU ム
ME メ
MO モ
YA ヤ
YU ユ
YO ヨ
RA ラ
RI リ
RU ル
RE レ
RO ロ
WA ワ
WI ヰ
WE ヱ
WO ヲ
GA ガ
GI ギ
GU グ
GE ゲ
GO ゴ
ZA ザ
JI ジ
ZU ズ
ZE ゼ
ZO ゾ
DA ダ
DJI ヂ
DZU ヅ
DE デ
DO ド
BA バ
BI ビ
BU ブ
BE ベ
BO ボ
PA パ
PI ピ
PU プ
PE ペ
PO ポ
KYA キャ
KYU キュ
KYO キョ
SHA シャ
SHU シュ
SHO ショ
CHA チャ
CHU チュ
CHO チョ
NYA ニャ
NYU ニュ
NYO ニョ
HYA ヒャ
HYU ヒュ
HYO ヒョ
MYA ミャ
MYU ミュ
MYO ミョ
RYA リャ
RYU リュ
RYO リョ
GYA ギャ
GYU ギュ
GYO ギョ
JA ジャ
JU ジュ
JO ジョ
BYA ビャ
BYU ビュ
BYO ビョ
PYA ピャ
PYU ピュ
PYO ピョ
VA ヴァ
VI ヴィ
VU ヴゥ
VE ヴェ
VO ヴォ
N ン
STOP ッ
- ー
